Index,Player,Pos,Age,Team,Birth Date
87,Wilson Chandler,SF,29,Denver Nuggets,10/05/1987
88,Marquese Chriss,PF,19,Phoenix Suns,02/07/1997
89,Rakeem Christmas,PF,25,Indiana Pacers,01/12/1991
90,Semaj Christon,PG,24,Oklahoma City Thunder,01/11/1992
91,Ian Clark,SG,25,Golden State Warriors,07/03/1991
92,Jordan Clarkson,SG,24,Los Angeles Lakers,07/06/1992
93,Norris Cole,PG,28,Oklahoma City Thunder,13/10/1988
94,Darren Collison,PG,29,Sacramento Kings,23/08/1987
95,Nick Collison,PF,36,Oklahoma City Thunder,26/10/1980
96,Mike Conley,PG,29,Memphis Grizzlies,11/10/1987
97,Pat Connaughton,SG,24,Portland Trail Blazers,06/01/1993
98,Quinn Cook,PG,23,Dallas Mavericks,23/03/1993
99,Quinn Cook,PG,23,New Orleans Pelicans,23/03/1993
100,DeMarcus Cousins,C,26,Sacramento Kings,13/08/1990
101,DeMarcus Cousins,C,26,New Orleans Pelicans,13/08/1990
102,Robert Covington,SF,26,Philadelphia 76ers,14/12/1990
103,Allen Crabbe,SG,24,Portland Trail Blazers,09/04/1992
104,Jamal Crawford,SG,36,Los Angeles Clippers,20/03/1980
105,Jordan Crawford,SG,28,New Orleans Pelicans,23/10/1988
106,Jae Crowder,SF,26,Boston Celtics,06/07/1990
107,Dante Cunningham,SF,29,New Orleans Pelicans,22/04/1987
108,Seth Curry,PG,26,Dallas Mavericks,23/08/1990
109,Stephen Curry,PG,28,Golden State Warriors,14/03/1988
110,Troy Daniels,SG,25,Memphis Grizzlies,15/07/1991
111,Anthony Davis,C,23,New Orleans Pelicans,11/03/1993
112,Deyonta Davis,C,20,Memphis Grizzlies,02/12/1996
113,Ed Davis,PF,27,Portland Trail Blazers,05/06/1989
114,Dewayne Dedmon,C,27,San Antonio Spurs,12/08/1989
115,Sam Dekker,SF,22,Houston Rockets,06/05/1994
116,Malcolm Delaney,PG,27,Atlanta Hawks,11/03/1989
117,Matthew Dellavedova,PG,26,Milwaukee Bucks,08/09/1990
118,Luol Deng,SF,31,Los Angeles Lakers,16/04/1985
119,DeMar DeRozan,SG,27,Toronto Raptors,07/08/1989
120,Cheick Diallo,PF,20,New Orleans Pelicans,13/09/1996
121,Boris Diaw,PF,34,Utah Jazz,16/04/1982
122,Gorgui Dieng,PF,27,Minnesota Timberwolves,18/01/1990
123,Spencer Dinwiddie,PG,23,Brooklyn Nets,06/04/1993
124,Toney Douglas,PG,30,Memphis Grizzlies,16/03/1986
125,Goran Dragic,PG,30,Miami Heat,06/05/1986
126,Andre Drummond,C,23,Detroit Pistons,10/08/1993
127,Jared Dudley,PF,31,Phoenix Suns,10/07/1985
128,Mike Dunleavy,SF,36,Cleveland Cavaliers,21/03/1954
129,Mike Dunleavy,SF,36,Cleveland Cavaliers,15/09/1980
130,Mike Dunleavy,SF,36,Atlanta Hawks,21/03/1954
131,Mike Dunleavy,SF,36,Atlanta Hawks,15/09/1980
132,Kris Dunn,PG,22,Minnesota Timberwolves,18/03/1994
133,Kevin Durant,SF,28,Golden State Warriors,29/09/1988
134,Jarell Eddie,SF,25,Phoenix Suns,30/10/1991
135,Henry Ellenson,PF,20,Detroit Pistons,13/01/1997
136,Wayne Ellington,SG,29,Miami Heat,29/10/1987
137,Monta Ellis,SG,31,Indiana Pacers,26/10/1985
138,Joel Embiid,C,22,Philadelphia 76ers,16/03/1994
139,James Ennis,SF,26,Memphis Grizzlies,01/07/1990
140,Tyler Ennis,PG,22,Houston Rockets,24/08/1994
141,Tyler Ennis,PG,22,Los Angeles Lakers,24/08/1994
142,Tyreke Evans,SF,27,New Orleans Pelicans,19/09/1989
143,Tyreke Evans,SF,27,Sacramento Kings,19/09/1989
144,Dante Exum,PG,21,Utah Jazz,13/07/1995
145,Kenneth Faried,PF,27,Denver Nuggets,19/11/1989
146,Jordan Farmar,PG,30,Sacramento Kings,30/11/1986
147,Derrick Favors,PF,25,Utah Jazz,15/07/1991
148,Kay Felder,PG,21,Cleveland Cavaliers,29/03/1995
149,Cristiano Felicio,C,24,Chicago Bulls,07/07/1992
150,Raymond Felton,PG,32,Los Angeles Clippers,26/06/1984
151,Yogi Ferrell,PG,23,Brooklyn Nets,09/05/1993
152,Yogi Ferrell,PG,23,Dallas Mavericks,09/05/1993
153,Dorian Finney-Smith,PF,23,Dallas Mavericks,04/05/1993
154,Bryn Forbes,SG,23,San Antonio Spurs,23/07/1993
155,Evan Fournier,SG,24,Orlando Magic,29/10/1992
156,Randy Foye,SG,33,Brooklyn Nets,24/09/1983
157,Tim Frazier,PG,26,New Orleans Pelicans,01/11/1990
158,Channing Frye,C,33,Cleveland Cavaliers,17/05/1983
159,Danilo Gallinari,SF,28,Denver Nuggets,08/08/1988
160,Langston Galloway,PG,25,New Orleans Pelicans,09/12/1991
161,Langston Galloway,PG,25,Sacramento Kings,09/12/1991
162,Patricio Garino,SG,23,Orlando Magic,17/05/1993
163,Marc Gasol,C,32,Memphis Grizzlies,29/01/1985
164,Pau Gasol,C,36,San Antonio Spurs,06/07/1980
165,Rudy Gay,SF,30,Sacramento Kings,17/08/1986
166,Michael Gbinije,SG,24,Detroit Pistons,05/06/1992
167,Alonzo Gee,SF,29,Denver Nuggets,29/05/1987
168,Paul George,SF,26,Indiana Pacers,02/05/1990
169,Marcus Georges-Hunt,SG,22,Orlando Magic,28/03/1994
170,Jonathan Gibson,PG,29,Dallas Mavericks,08/11/1987
171,Taj Gibson,PF,31,Chicago Bulls,24/06/1985
172,Taj Gibson,PF,31,Oklahoma City Thunder,24/06/1985
173,Manu Ginobili,SG,39,San Antonio Spurs,28/07/1977
174,Rudy Gobert,C,24,Utah Jazz,26/06/1992
175,Archie Goodwin,SG,22,New Orleans Pelicans,17/08/1994
176,Archie Goodwin,SG,22,Brooklyn Nets,17/08/1994
177,Aaron Gordon,SF,21,Orlando Magic,16/09/1995
178,Eric Gordon,SG,28,Houston Rockets,25/12/1988
179,Marcin Gortat,C,32,Washington Wizards,17/02/1984
180,Treveon Graham,SG,23,Charlotte Hornets,29/10/1993
181,Jerami Grant,SF,22,Philadelphia 76ers,12/03/1994
182,Jerami Grant,SF,22,Oklahoma City Thunder,12/03/1994
183,Jerian Grant,PG,24,Chicago Bulls,09/10/1992
184,Danny Green,SG,29,San Antonio Spurs,22/06/1987
185,Draymond Green,PF,26,Golden State Warriors,04/03/1990
186,Gerald Green,SF,31,Boston Celtics,26/01/1986
187,JaMychal Green,PF,26,Memphis Grizzlies,21/06/1990
188,Jeff Green,PF,30,Orlando Magic,28/08/1986
189,Blake Griffin,PF,27,Los Angeles Clippers,16/03/1989
190,Justin Hamilton,C,26,Brooklyn Nets,01/04/1990
191,A.J. Hammons,C,24,Dallas Mavericks,27/08/1992
192,Tim Hardaway,SG,24,Atlanta Hawks,01/09/1966
193,Tim Hardaway,SG,24,Atlanta Hawks,16/03/1992
194,James Harden,PG,27,Houston Rockets,26/08/1989
195,Maurice Harkless,SF,23,Portland Trail Blazers,11/05/1993
196,Justin Harper,PF,27,Philadelphia 76ers,30/08/1989
197,Montrezl Harrell,C,23,Houston Rockets,26/01/1994
198,Devin Harris,PG,33,Dallas Mavericks,27/02/1983
199,Gary Harris,SG,22,Denver Nuggets,14/09/1994
200,Joe Harris,SG,25,Brooklyn Nets,06/09/1991
201,Manny Harris,SG,27,Dallas Mavericks,21/09/1989
202,Tobias Harris,PF,24,Detroit Pistons,15/07/1992
203,Aaron Harrison,SG,22,Charlotte Hornets,28/10/1994
204,Andrew Harrison,PG,22,Memphis Grizzlies,28/10/1994
205,Udonis Haslem,C,36,Miami Heat,09/06/1980
206,Spencer Hawes,PF,28,Charlotte Hornets,28/04/1988
207,Spencer Hawes,PF,28,Milwaukee Bucks,28/04/1988
208,Gordon Hayward,SF,26,Utah Jazz,23/03/1990
209,Gerald Henderson,SG,29,Philadelphia 76ers,16/01/1956
210,Gerald Henderson,SG,29,Philadelphia 76ers,09/12/1987
211,John Henson,C,26,Milwaukee Bucks,28/12/1990
212,Juan Hernangomez,PF,21,Denver Nuggets,28/09/1995
213,Willy Hernangomez,C,22,New York Knicks,27/05/1994
214,Mario Hezonja,SF,21,Orlando Magic,25/02/1995
215,Roy Hibbert,C,30,Charlotte Hornets,11/12/1986
216,Roy Hibbert,C,30,Denver Nuggets,11/12/1986
217,Buddy Hield,SG,23,New Orleans Pelicans,17/12/1993
218,Buddy Hield,SG,23,Sacramento Kings,17/12/1993
219,Nene Hilario,C,34,Houston Rockets,13/09/1982
220,George Hill,PG,30,Utah Jazz,04/05/1986
221,Jordan Hill,C,29,Minnesota Timberwolves,27/07/1987
222,Solomon Hill,SF,25,New Orleans Pelicans,18/03/1991
223,Darrun Hilliard,SG,23,Detroit Pistons,13/04/1993
224,Jrue Holiday,PG,26,New Orleans Pelicans,12/06/1990
225,Justin Holiday,SG,27,New York Knicks,05/04/1989
226,Rondae Hollis-Jefferson,SF,22,Brooklyn Nets,03/01/1995
227,Richaun Holmes,C,23,Philadelphia 76ers,15/10/1993
228,Rodney Hood,SG,24,Utah Jazz,20/10/1992
229,Al Horford,C,30,Boston Celtics,03/06/1986
230,Danuel House,SG,23,Washington Wizards,07/06/1993
231,Dwight Howard,C,31,Atlanta Hawks,08/12/1985
232,Marcelo Huertas,PG,33,Los Angeles Lakers,25/05/1983
233,Josh Huestis,PF,25,Oklahoma City Thunder,19/12/1991
234,Kris Humphries,PF,31,Atlanta Hawks,06/02/1985
235,R.J. Hunter,SG,23,Chicago Bulls,24/10/1993
236,Serge Ibaka,PF,27,Orlando Magic,18/09/1989
237,Serge Ibaka,PF,27,Toronto Raptors,18/09/1989
238,Andre Iguodala,SF,33,Golden State Warriors,28/01/1984
239,Ersan Ilyasova,PF,29,Oklahoma City Thunder,15/05/1987
240,Ersan Ilyasova,PF,29,Philadelphia 76ers,15/05/1987
241,Ersan Ilyasova,PF,29,Atlanta Hawks,15/05/1987
242,Joe Ingles,SF,29,Utah Jazz,02/10/1987
243,Brandon Ingram,SF,19,Los Angeles Lakers,02/09/1997
244,Kyrie Irving,PG,24,Cleveland Cavaliers,23/03/1992
245,Jarrett Jack,PG,33,New Orleans Pelicans,28/10/1983
246,Demetrius Jackson,PG,22,Boston Celtics,07/09/1994
247,Pierre Jackson,PG,25,Dallas Mavericks,29/08/1991
248,Reggie Jackson,PG,26,Detroit Pistons,16/04/1990
249,LeBron James,SF,32,Cleveland Cavaliers,30/12/1984
250,Al Jefferson,C,32,Indiana Pacers,04/01/1985
251,Richard Jefferson,SF,36,Cleveland Cavaliers,21/06/1980
252,John Jenkins,SG,25,Phoenix Suns,06/03/1991
253,Brandon Jennings,PG,27,New York Knicks,23/09/1989
254,Brandon Jennings,PG,27,Washington Wizards,23/09/1989
255,Jonas Jerebko,PF,29,Boston Celtics,02/03/1987
256,Amir Johnson,PF,29,Boston Celtics,01/05/1987
257,Brice Johnson,PF,22,Los Angeles Clippers,27/06/1994
258,James Johnson,PF,29,Miami Heat,20/02/1987
259,Joe Johnson,SF,35,Utah Jazz,29/06/1981
260,Stanley Johnson,SF,20,Detroit Pistons,29/05/1996
261,Tyler Johnson,PG,24,Miami Heat,07/05/1992
262,Wesley Johnson,SF,29,Los Angeles Clippers,11/07/1987
263,Nikola Jokic,C,21,Denver Nuggets,19/02/1995
264,Dahntay Jones,SF,36,Cleveland Cavaliers,27/12/1980
265,Damian Jones,C,21,Golden State Warriors,30/06/1995
266,Derrick Jones,SF,19,Phoenix Suns,15/02/1997
267,James Jones,SF,36,Cleveland Cavaliers,04/10/1980
268,Terrence Jones,PF,25,New Orleans Pelicans,09/01/1992
269,Terrence Jones,PF,25,Milwaukee Bucks,09/01/1992
270,Tyus Jones,PG,20,Minnesota Timberwolves,10/05/1996
271,DeAndre Jordan,C,28,Los Angeles Clippers,21/07/1988
272,Cory Joseph,SG,25,Toronto Raptors,20/08/1991
273,Frank Kaminsky,C,23,Charlotte Hornets,04/04/1993
274,Enes Kanter,C,24,Oklahoma City Thunder,20/05/1992
275,Ryan Kelly,PF,25,Atlanta Hawks,09/04/1991
276,Michael Kidd-Gilchrist,SF,23,Charlotte Hornets,26/09/1993
277,Sean Kilpatrick,SG,27,Brooklyn Nets,06/01/1990
278,Brandon Knight,SG,25,Phoenix Suns,02/12/1991
279,Kyle Korver,SG,35,Atlanta Hawks,17/03/1981
280,Kyle Korver,SG,35,Cleveland Cavaliers,17/03/1981
281,Kosta Koufos,C,27,Sacramento Kings,24/02/1989
282,Mindaugas Kuzminskas,SF,27,New York Knicks,19/10/1989
283,Skal Labissiere,PF,20,Sacramento Kings,18/03/1996
284,Jeremy Lamb,SG,24,Charlotte Hornets,30/05/1992
285,Nicolas Laprovittola,PG,27,San Antonio Spurs,31/01/1990
286,Joffrey Lauvergne,PF,25,Oklahoma City Thunder,30/09/1991
287,Joffrey Lauvergne,C,25,Chicago Bulls,30/09/1991
288,Zach LaVine,SG,21,Minnesota Timberwolves,10/03/1995
289,Ty Lawson,PG,29,Sacramento Kings,03/11/1987
290,Jake Layman,SF,22,Portland Trail Blazers,07/03/1994
291,Courtney Lee,SG,31,New York Knicks,03/10/1985
292,David Lee,PF,33,San Antonio Spurs,31/03/1942
293,David Lee,PF,33,San Antonio Spurs,29/04/1983
294,Alex Len,C,23,Phoenix Suns,16/06/1993
295,Kawhi Leonard,SF,25,San Antonio Spurs,29/06/1991
296,Meyers Leonard,PF,24,Portland Trail Blazers,27/02/1992
297,Jon Leuer,PF,27,Detroit Pistons,14/05/1989
298,Caris LeVert,SF,22,Brooklyn Nets,25/08/1994
299,DeAndre Liggins,SG,28,Cleveland Cavaliers,31/03/1988
300,DeAndre Liggins,SG,28,Dallas Mavericks,31/03/1988
301,Damian Lillard,PG,26,Portland Trail Blazers,15/07/1990
302,Jeremy Lin,PG,28,Brooklyn Nets,23/08/1988
303,Shaun Livingston,PG,31,Golden State Warriors,11/09/1985
304,Shawn Long,C,24,Philadelphia 76ers,29/01/1993
305,Kevon Looney,C,20,Golden State Warriors,06/02/1996
306,Brook Lopez,C,28,Brooklyn Nets,01/04/1988
307,Robin Lopez,C,28,Chicago Bulls,01/04/1988
308,Kevin Love,PF,28,Cleveland Cavaliers,07/09/1988
309,Kyle Lowry,PG,30,Toronto Raptors,25/03/1986
310,John Lucas,PG,34,Minnesota Timberwolves,31/10/1953
311,Timothe Luwawu-Cabarrot,SF,21,Philadelphia 76ers,09/05/1995
312,Trey Lyles,PF,21,Utah Jazz,05/11/1995
313,Shelvin Mack,PG,26,Utah Jazz,22/04/1990
314,Ian Mahinmi,C,30,Washington Wizards,05/11/1986
315,Thon Maker,C,19,Milwaukee Bucks,25/02/1997
316,Boban Marjanovic,C,28,Detroit Pistons,15/08/1988
317,Jarell Martin,PF,22,Memphis Grizzlies,24/05/1994
318,Wesley Matthews,SG,30,Dallas Mavericks,14/10/1986
319,Luc Mbah a Moute,SF,30,Los Angeles Clippers,09/09/1986
320,James Michael McAdoo,PF,24,Golden State Warriors,04/01/1993
321,Patrick McCaw,SG,21,Golden State Warriors,25/10/1995
322,Sheldon Mac,SG,24,Washington Wizards,21/12/1992
323,C.J. McCollum,SG,25,Portland Trail Blazers,19/09/1991
324,T.J. McConnell,PG,24,Philadelphia 76ers,25/03/1992
325,Chris McCullough,PF,21,Brooklyn Nets,05/02/1995
326,Chris McCullough,PF,21,Washington Wizards,05/02/1995
327,K.J. McDaniels,SF,23,Houston Rockets,09/02/1993
328,K.J. McDaniels,SF,23,Brooklyn Nets,09/02/1993
329,Doug McDermott,SF,25,Chicago Bulls,03/01/1992
330,Doug McDermott,SF,25,Oklahoma City Thunder,03/01/1992
331,JaVale McGee,C,29,Golden State Warriors,19/01/1988
332,Rodney McGruder,SG,25,Miami Heat,29/07/1991
333,Ben McLemore,SG,23,Sacramento Kings,11/02/1993
334,Jordan McRae,SG,25,Cleveland Cavaliers,28/03/1991
335,Josh McRoberts,PF,29,Miami Heat,28/02/1987
336,Jodie Meeks,SG,29,Orlando Magic,21/08/1987
337,Salah Mejri,C,30,Dallas Mavericks,15/06/1986
338,Jordan Mickey,PF,22,Boston Celtics,09/07/1994
339,Khris Middleton,SF,25,Milwaukee Bucks,12/08/1991
340,C.J. Miles,SF,29,Indiana Pacers,18/04/1987
341,Mike Miller,SF,36,Denver Nuggets,19/02/1980
342,Patty Mills,PG,28,San Antonio Spurs,11/08/1988
343,Elijah Millsap,SG,29,Phoenix Suns,12/08/1987
344,Paul Millsap,PF,31,Atlanta Hawks,10/02/1985
345,Nikola Mirotic,PF,25,Chicago Bulls,11/02/1991
346,Greg Monroe,C,26,Milwaukee Bucks,04/06/1990
347,E'Twaun Moore,SG,27,New Orleans Pelicans,28/02/1989
348,Marcus Morris,SF,27,Detroit Pistons,02/09/1989
349,Markieff Morris,PF,27,Washington Wizards,02/09/1989
350,Anthony Morrow,SG,31,Oklahoma City Thunder,27/09/1985
351,Anthony Morrow,SG,31,Chicago Bulls,27/09/1985
352,Donatas Motiejunas,PF,26,New Orleans Pelicans,20/09/1990
353,Timofey Mozgov,C,30,Los Angeles Lakers,16/07/1986
354,Emmanuel Mudiay,PG,20,Denver Nuggets,05/03/1996
355,Shabazz Muhammad,SF,24,Minnesota Timberwolves,13/11/1992
356,Dejounte Murray,PG,20,San Antonio Spurs,19/09/1996
357,Jamal Murray,SG,19,Denver Nuggets,23/02/1997
358,Mike Muscala,C,25,Atlanta Hawks,01/07/1991
359,Larry Nance,PF,24,Los Angeles Lakers,12/02/1959
360,Larry Nance,PF,24,Los Angeles Lakers,01/01/1993
361,Shabazz Napier,PG,25,Portland Trail Blazers,14/07/1991
362,Maurice Ndour,PF,24,New York Knicks,18/06/1992
363,Gary Neal,SG,32,Atlanta Hawks,03/10/1984
364,Jameer Nelson,PG,34,Denver Nuggets,09/02/1982
365,Raul Neto,PG,24,Utah Jazz,19/05/1992
366,Georges Niang,PF,23,Indiana Pacers,17/06/1993
367,Andrew Nicholson,PF,27,Washington Wizards,08/12/1989
368,Andrew Nicholson,PF,27,Brooklyn Nets,08/12/1989
369,Joakim Noah,C,31,New York Knicks,25/02/1985
370,Nerlens Noel,C,22,Philadelphia 76ers,10/04/1994
371,Nerlens Noel,C,22,Dallas Mavericks,10/04/1994
372,Lucas Nogueira,C,24,Toronto Raptors,26/07/1992
373,Steve Novak,PF,33,Milwaukee Bucks,13/06/1983
374,Dirk Nowitzki,PF,38,Dallas Mavericks,19/06/1978
375,Jusuf Nurkic,C,22,Denver Nuggets,23/08/1994
376,Jusuf Nurkic,C,22,Portland Trail Blazers,23/08/1994
377,David Nwaba,SG,24,Los Angeles Lakers,14/01/1993
378,Johnny O'Bryant,PF,23,Denver Nuggets,01/06/1993
379,Johnny O'Bryant,PF,23,Charlotte Hornets,01/06/1993
380,Kyle O'Quinn,C,26,New York Knicks,26/03/1990
381,Daniel Ochefu,C,23,Washington Wizards,15/12/1993
382,Jahlil Okafor,C,21,Philadelphia 76ers,15/12/1995
383,Victor Oladipo,SG,24,Oklahoma City Thunder,04/05/1992
384,Kelly Olynyk,C,25,Boston Celtics,19/04/1991
385,Arinze Onuaku,C,29,Orlando Magic,13/07/1987
386,Chinanu Onuaku,C,20,Houston Rockets,01/11/1996
387,Kelly Oubre,SF,21,Washington Wizards,09/12/1995
388,Zaza Pachulia,C,32,Golden State Warriors,10/02/1984
389,Georgios Papagiannis,C,19,Sacramento Kings,03/07/1997
390,Jabari Parker,PF,21,Milwaukee Bucks,15/03/1995
391,Tony Parker,PG,34,San Antonio Spurs,17/05/1982
392,Chandler Parsons,SF,28,Memphis Grizzlies,25/10/1988
393,Lamar Patterson,SG,25,Atlanta Hawks,12/08/1991
394,Patrick Patterson,PF,27,Toronto Raptors,14/03/1989
395,Chris Paul,PG,31,Los Angeles Clippers,06/05/1985
396,Adreian Payne,PF,25,Minnesota Timberwolves,19/02/1991
397,Cameron Payne,PG,22,Oklahoma City Thunder,08/08/1994
398,Cameron Payne,PG,22,Chicago Bulls,08/08/1994
399,Elfrid Payton,PG,22,Orlando Magic,22/02/1994
400,Gary Payton,PG,24,Milwaukee Bucks,23/07/1968
401,Gary Payton,PG,24,Milwaukee Bucks,01/12/1992
402,Paul Pierce,SF,39,Los Angeles Clippers,13/10/1977
403,Marshall Plumlee,C,24,New York Knicks,14/07/1992
404,Mason Plumlee,C,26,Portland Trail Blazers,05/03/1990
405,Mason Plumlee,C,26,Denver Nuggets,05/03/1990
406,Miles Plumlee,C,28,Milwaukee Bucks,01/09/1988
407,Miles Plumlee,C,28,Charlotte Hornets,01/09/1988
408,Jakob Poeltl,C,21,Toronto Raptors,15/10/1995
409,Otto Porter,SF,23,Washington Wizards,03/06/1993
410,Bobby Portis,PF,21,Chicago Bulls,10/02/1995
411,Kristaps Porzingis,PF,21,New York Knicks,02/08/1995
412,Dwight Powell,C,25,Dallas Mavericks,20/07/1991
413,Norman Powell,SG,23,Toronto Raptors,25/05/1993
414,Alex Poythress,PF,23,Philadelphia 76ers,06/09/1993
415,Ronnie Price,PG,33,Phoenix Suns,21/06/1983
416,Tim Quarterman,SG,22,Portland Trail Blazers,27/10/1994
417,Chasson Randle,PG,23,Philadelphia 76ers,05/02/1993
418,Chasson Randle,PG,23,New York Knicks,05/02/1993
419,Julius Randle,PF,22,Los Angeles Lakers,29/11/1994
420,Zach Randolph,PF,35,Memphis Grizzlies,16/07/1981
421,J.J. Redick,SG,32,Los Angeles Clippers,24/06/1984
422,Willie Reed,C,26,Miami Heat,16/05/1990
423,Josh Richardson,SG,23,Miami Heat,15/09/1993
424,Malachi Richardson,SG,21,Sacramento Kings,05/01/1996
425,Austin Rivers,SG,24,Los Angeles Clippers,01/08/1992
426,Andre Roberson,SF,25,Oklahoma City Thunder,04/12/1991
427,Brian Roberts,PG,31,Charlotte Hornets,03/12/1985
428,Glenn Robinson,SF,23,Indiana Pacers,10/01/1973
429,Glenn Robinson,SF,23,Indiana Pacers,08/01/1994
430,Thomas Robinson,PF,25,Los Angeles Lakers,17/03/1991
431,Sergio Rodriguez,PG,30,Philadelphia 76ers,12/06/1986
